iter	Passed	Remaining
0	139	138968
1	141	70520
2	143	47653
3	146	36356
4	148	29526
5	150	24932
6	152	21670
7	154	19194
8	156	17275
9	159	15767
10	161	14544
11	164	13508
12	166	12613
13	168	11840
14	170	11170
15	172	10596
16	174	10099
17	176	9644
18	178	9241
19	181	8911
20	183	8567
21	185	8264
22	188	7999
23	190	7746
24	192	7509
25	194	7292
26	197	7102
27	199	6909
28	201	6753
29	203	6595
30	206	6448
31	208	6306
32	210	6170
33	212	6040
34	215	5936
35	217	5823
36	219	5711
37	221	5607
38	223	5507
39	225	5411
40	227	5320
41	230	5249
42	232	5171
43	234	5093
44	236	5013
45	237	4935
46	240	4869
47	242	4813
48	245	4757
49	247	4702
50	249	4642
51	251	4583
52	253	4527
53	256	4485
54	258	4443
55	260	4395
56	262	4349
57	264	4301
58	266	4256
59	268	4212
60	271	4171
61	273	4130
62	275	4093
63	277	4055
64	279	4016
65	281	3977
66	283	3947
67	285	3917
68	287	3883
69	289	3850
70	291	3818
71	293	3787
72	295	3755
73	297	3728
74	300	3700
75	302	3672
76	304	3644
77	306	3617
78	307	3586
79	309	3557
80	311	3533
81	314	3515
82	315	3481
83	317	3458
84	319	3436
85	321	3412
86	323	3390
87	325	3372
88	327	3356
89	330	3340
90	332	3321
91	334	3300
92	336	3280
93	338	3261
94	340	3245
95	343	3232
96	345	3214
97	347	3197
98	349	3179
99	351	3163
100	353	3147
101	356	3136
102	358	3119
103	360	3103
104	362	3086
105	364	3070
106	366	3055
107	368	3042
108	370	3029
109	372	3015
110	374	2999
111	376	2983
112	378	2972
113	380	2959
114	383	2948
115	386	2941
116	388	2931
117	391	2925
118	393	2916
119	398	2924
120	402	2926
121	404	2912
122	406	2901
123	409	2890
124	411	2881
125	414	2872
126	415	2858
127	417	2845
128	420	2837
129	422	2826
130	424	2816
131	427	2811
132	429	2801
133	432	2792
134	433	2780
135	435	2769
136	438	2759
137	440	2751
138	442	2743
139	444	2731
140	446	2722
141	448	2708
142	450	2699
143	452	2689
144	454	2680
145	456	2670
146	458	2659
147	459	2647
148	461	2637
149	463	2625
150	465	2615
151	467	2606
152	469	2598
153	471	2589
154	473	2579
155	474	2569
156	476	2561
157	478	2552
158	480	2542
159	483	2540
160	485	2529
161	487	2520
162	490	2517
163	492	2511
164	494	2502
165	499	2508
166	501	2502
167	503	2494
168	505	2485
169	507	2476
170	509	2468
171	511	2464
172	514	2458
173	516	2450
174	518	2443
175	520	2435
176	522	2427
177	523	2418
178	526	2413
179	528	2407
180	530	2401
181	532	2394
182	534	2386
183	536	2378
184	539	2375
185	541	2369
186	543	2362
187	545	2357
188	548	2351
189	549	2344
190	551	2337
191	554	2332
192	557	2329
193	559	2322
194	560	2315
195	563	2309
196	565	2303
197	568	2301
198	570	2298
199	573	2292
200	575	2287
201	577	2282
202	579	2275
203	584	2280
204	586	2276
205	589	2272
206	591	2267
207	594	2262
208	596	2258
209	599	2255
210	602	2252
211	604	2245
212	606	2240
213	608	2236
214	612	2235
215	616	2237
216	618	2233
217	621	2229
218	623	2224
219	626	2219
220	628	2215
221	631	2213
222	633	2207
223	636	2204
224	639	2202
225	641	2198
226	644	2193
227	646	2189
228	648	2183
229	650	2178
230	653	2174
231	655	2170
232	657	2165
233	659	2159
234	661	2153
235	663	2147
236	665	2141
237	667	2136
238	669	2131
239	671	2125
240	672	2119
241	674	2114
242	676	2108
243	678	2102
244	680	2098
245	683	2094
246	686	2091
247	688	2087
248	690	2082
249	692	2077
250	694	2072
251	696	2067
252	698	2063
253	701	2059
254	703	2054
255	705	2049
256	707	2044
257	710	2043
258	712	2039
259	715	2035
260	717	2030
261	718	2025
262	720	2020
263	723	2016
264	725	2012
265	727	2008
266	729	2003
267	731	1998
268	733	1992
269	735	1987
270	736	1981
271	739	1978
272	741	1974
273	743	1970
274	745	1965
275	747	1959
276	749	1955
277	751	1950
278	753	1946
279	755	1942
280	757	1938
281	759	1934
282	761	1929
283	763	1925
284	765	1921
285	769	1920
286	771	1916
287	773	1912
288	775	1907
289	777	1902
290	779	1898
291	781	1894
292	783	1891
293	785	1887
294	787	1882
295	789	1878
296	792	1875
297	794	1871
298	796	1867
299	798	1863
300	800	1859
301	802	1855
302	804	1850
303	806	1846
304	808	1841
305	810	1838
306	812	1834
307	814	1830
308	816	1826
309	818	1821
310	820	1817
311	822	1813
312	824	1810
313	827	1808
314	829	1804
315	831	1800
316	833	1795
317	835	1791
318	837	1787
319	839	1784
320	841	1780
321	843	1777
322	845	1772
323	848	1769
324	850	1766
325	852	1763
326	855	1759
327	857	1756
328	859	1752
329	861	1748
330	863	1744
331	865	1740
332	867	1737
333	869	1734
334	871	1730
335	873	1726
336	875	1722
337	877	1718
338	879	1714
339	881	1710
340	883	1708
341	886	1704
342	888	1701
343	890	1697
344	892	1694
345	894	1690
346	897	1688
347	899	1685
348	901	1681
349	903	1677
350	904	1673
351	906	1669
352	908	1665
353	910	1662
354	913	1659
355	915	1655
356	917	1651
357	918	1647
358	920	1644
359	922	1640
360	924	1636
361	926	1632
362	928	1629
363	930	1626
364	932	1622
365	934	1619
366	936	1615
367	939	1613
368	942	1611
369	943	1607
370	946	1603
371	948	1601
372	950	1598
373	952	1594
374	955	1592
375	957	1589
376	959	1586
377	961	1582
378	964	1580
379	966	1577
380	968	1573
381	971	1571
382	973	1568
383	975	1564
384	977	1561
385	979	1557
386	981	1554
387	983	1551
388	986	1548
389	988	1546
390	990	1543
391	992	1539
392	994	1536
393	997	1534
394	1000	1532
395	1002	1529
396	1004	1526
397	1006	1522
398	1008	1519
399	1011	1517
400	1013	1514
401	1016	1511
402	1018	1508
403	1020	1504
404	1021	1501
405	1023	1498
406	1026	1495
407	1028	1491
408	1030	1488
409	1032	1485
410	1033	1481
411	1035	1477
412	1037	1474
413	1039	1471
414	1042	1469
415	1044	1466
416	1046	1463
417	1048	1460
418	1050	1456
419	1053	1454
420	1056	1453
421	1058	1450
422	1060	1447
423	1062	1443
424	1064	1440
425	1067	1437
426	1070	1436
427	1072	1433
428	1075	1431
429	1077	1427
430	1079	1424
431	1081	1421
432	1083	1419
433	1086	1416
434	1088	1413
435	1090	1410
436	1092	1407
437	1094	1404
438	1095	1400
439	1099	1398
440	1101	1395
441	1103	1392
442	1105	1389
443	1107	1386
444	1109	1383
445	1113	1382
446	1115	1380
447	1118	1378
448	1122	1376
449	1124	1373
450	1128	1373
451	1130	1370
452	1132	1367
453	1134	1364
454	1136	1361
455	1138	1358
456	1141	1355
457	1143	1353
458	1145	1350
459	1147	1347
460	1149	1344
461	1151	1340
462	1153	1338
463	1155	1335
464	1158	1332
465	1160	1329
466	1162	1326
467	1163	1322
468	1165	1319
469	1167	1316
470	1169	1313
471	1172	1311
472	1174	1308
473	1176	1305
474	1177	1301
475	1179	1298
476	1181	1295
477	1184	1293
478	1186	1290
479	1188	1287
480	1190	1284
481	1192	1281
482	1194	1278
483	1196	1275
484	1199	1273
485	1201	1270
486	1203	1267
487	1205	1264
488	1207	1261
489	1209	1258
490	1211	1255
491	1213	1253
492	1216	1250
493	1218	1247
494	1219	1244
495	1221	1241
496	1223	1238
497	1225	1235
498	1228	1233
499	1230	1230
500	1232	1227
501	1234	1225
502	1236	1222
503	1238	1219
504	1240	1216
505	1243	1213
506	1246	1211
507	1248	1208
508	1250	1206
509	1252	1203
510	1254	1200
511	1256	1197
512	1258	1195
513	1260	1192
514	1263	1189
515	1265	1186
516	1267	1183
517	1268	1180
518	1271	1178
519	1273	1175
520	1275	1172
521	1277	1169
522	1279	1166
523	1281	1163
524	1283	1160
525	1285	1158
526	1287	1155
527	1289	1152
528	1291	1150
529	1293	1147
530	1295	1144
531	1297	1141
532	1300	1139
533	1302	1136
534	1304	1133
535	1306	1131
536	1308	1128
537	1310	1125
538	1311	1122
539	1314	1119
540	1316	1117
541	1318	1114
